buyer_address,eth_price,usd_price,seller_address,event_date,token_id,transaction_hash,name
0xf3b0f4411c77c60a132003dbc01d58fe137b75ae,90,406308.6,0x8f6b1e467fbe74d7dd43d59de0558f693c736798,2021-12-03,8969,0x78ed7f58c71cda62c361636b7598714f757b543cc95903303cfa7f228b8a6ff6,"CryptoPunk #8969"
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,100,451454,0x8f6b1e467fbe74d7dd43d59de0558f693c736798,2021-12-03,8808,0x07927c7f725dda129d95b43ea3d6c39f36e132750f4842c4b14ca913c6281f76,"CryptoPunk #8808"
0x0000000000000000000000000000000000000000,80.4,362969.016,0x07379370e6900e539e5789bdd79dbf74253c290f,2021-12-03,2672,0xe01628ea71ba5a859bd5f87edb1b406d3f25500951f81a63a665b1ad82a4d6fa,"CryptoPunk #2672"
0x0000000000000000000000000000000000000000,83,374706.82,0x8f6b1e467fbe74d7dd43d59de0558f693c736798,2021-12-03,8315,0x1ddd4f721e2a399d301150a617e3b6cf745f272da7825083b2830b6db47c79c0,"CryptoPunk #8315"
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,67,302474.18,0x8f6b1e467fbe74d7dd43d59de0558f693c736798,2021-12-03,3907,0x907287bcf4973b694e7fc232fc83cfca5435d5c98f3e51e80ea3b3a14e2f1fcf,"CryptoPunk #3907"
0x51eac3daa1c34f5c2874aa62097ac9965a180b6d,70,316017.8,0x8f6b1e467fbe74d7dd43d59de0558f693c736798,2021-12-03,3223,0x1a284452593e9b70025b5e965685c9be0d7b7290f5a379a13204b7346cce4891,"CryptoPunk #3223"
0x51eac3daa1c34f5c2874aa62097ac9965a180b6d,70,316017.8,0x8f6b1e467fbe74d7dd43d59de0558f693c736798,2021-12-03,8431,0x3652454d719e14d250a591ee9509d82a95a88246f3fe991c1394bb94e886348c,"CryptoPunk #8431"
0xf224837e13b1a745574ef68a73427b0063f266f1,74.9,338139.046,0x806388e04b7583a0148451a8ecd29a748b8fd584,2021-12-03,3460,0x0cdc14ecb53f66fe695fcc5a092fcc1e72722cfa7fe55b74e881e2f497014dbd,"CryptoPunk #3460"
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,70,316017.8,0x8f6b1e467fbe74d7dd43d59de0558f693c736798,2021-12-03,5346,0x7cce3279aa3a9b7b2df400f16ef19b6ab91278dffd9d29b0ec359ac9f7b7d5bf,"CryptoPunk #5346"
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,70,316017.8,0x8f6b1e467fbe74d7dd43d59de0558f693c736798,2021-12-03,5619,0xea4a579fda1ba188cca2c1e6656fc030d993cd3a2f94953dc18c4d54a3b0869f,"CryptoPunk #5619"
0x51eac3daa1c34f5c2874aa62097ac9965a180b6d,70,316017.8,0x8f6b1e467fbe74d7dd43d59de0558f693c736798,2021-12-03,9467,0xb553bc6aaa3528838824596cdfdfc21ae61bfb2c4e08008c236e824e8d549cd5,"CryptoPunk #9467"
0x141322060568ac3c827217920a08bb6c1b442cbb,89.95,406082.873,0x6639c089adfba8bb9968da643c6be208a70d6daa,2021-12-03,4202,0xbf84a65c85f150653b0d7703ccab6bd6d90df89e3ee4c3fa07b38f8770135870,"CryptoPunk #4202"
0xd923a1405ec8afe2c5b3ef7fd3ef6201c6480221,150,677181,0xb47a70df538b9a3b591bc5d75da66a04c879b291,2021-12-03,3322,0x1683d0a5aeec6244568a7a5a1d4e1b7c1e4061716f2fcf6fb54a13866d8b301f,"CryptoPunk #3322"
0x0000000000000000000000000000000000000000,75,338590.5,0x86ab846eab1db8ed6f410cbc7c5497de0b7b4536,2021-12-03,3159,0xbdad347c8074e5d2135bb255cad300fc1b46d46216aa621f2a292b82d55e5d53,"CryptoPunk #3159"
0xa106338772931be6b4feb671c2fb1c3c1994c892,74.95,338364.773,0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,2021-12-03,8945,0xae87f380e3616c677eefc45364125567a00f4de86679604ca1b96203430a6cfd,"CryptoPunk #8945"
0x0000000000000000000000000000000000000000,85,383735.9,0xc8780bf4dc27a310ec708794b9f40553cc545da0,2021-12-03,6283,0x71b2656213f340135ecd6275683319fd5d7fece868804a4ec5c5bfbee3d0d25b,"CryptoPunk #6283"
0xfe2f279d3679bac2d07cf46c93503410ef9ca448,75,338590.5,0x1b8644d343dc8f57ce81297def2902a900b4b347,2021-12-03,1857,0x50ae18059e73f1e3b917581272a22dc94cb0ccb6088d5233c1b50732df80e2f9,"CryptoPunk #1857"
